"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 17 15:30:24 IST 2023","Mon Jul 17 15:34:48 IST 2023","264241","Valid Login Scenario","Test Consignment Inbound","pages.TestPageConsignmentInbound","pages.TestPageConsignmentInbound","consignmentInboundEmailAndSave","consignmentInboundEmailAndSave",""
"passed","Mon Aug 07 17:00:02 IST 2023","Mon Aug 07 17:01:49 IST 2023","106658","Valid Login Scenario","Test Consignment ExternalUser assigned MultipleBilledTos","pages.TestConsignmentExternalUser","pages.TestConsignmentExternalUser","externalUserConsignmentInbound","externalUserConsignmentInbound",""
"broken","Fri May 12 14:41:01 IST 2023","Fri May 12 14:44:27 IST 2023","205754","Valid Login Scenario","Test Consignment","pages.TestPageFirearmConsignment","pages.TestPageFirearmConsignment","firearmConsignment","firearmConsignment",""
"passed","Mon Aug 07 17:36:26 IST 2023","Mon Aug 07 17:38:37 IST 2023","131803","Valid Login Scenario","Test Consignment ExternalUser assigned MultipleBilledTos","pages.TestConsignmentExternalUser","pages.TestConsignmentExternalUser","externalUserConsignmentOutbound","externalUserConsignmentOutbound",""
"passed","Mon Jul 17 11:50:02 IST 2023","Mon Jul 17 11:52:37 IST 2023","154809","Valid Login Scenario","Test Consignment","pages.TestPageConsinment","pages.TestPageConsinment","doStarted","doStarted",""
"passed","Wed May 17 18:18:20 IST 2023","Wed May 17 18:18:50 IST 2023","30222","Valid Login Scenario (1)","Test Consignment","pages.TestPageFirearmConsignment","pages.TestPageFirearmConsignment","clickOnConsignment","clickOnConsignment","Verify valid user are allowed to access"
"passed","Mon Aug 07 12:50:26 IST 2023","Mon Aug 07 12:52:40 IST 2023","133301","Valid Login Scenario","Test Consignment ExternalUser assigned MultipleBilledTos","pages.TestConsignmentExternalUser","pages.TestConsignmentExternalUser","externalUserConsignmentOutbound","externalUserConsignmentOutbound",""
"passed","Mon Aug 07 12:52:40 IST 2023","Mon Aug 07 12:54:24 IST 2023","104229","Valid Login Scenario","Test Consignment ExternalUser assigned MultipleBilledTos","pages.TestConsignmentExternalUser","pages.TestConsignmentExternalUser","externalUserConsignmentInbound","externalUserConsignmentInbound",""
"passed","Fri Aug 11 15:49:02 IST 2023","Fri Aug 11 15:50:09 IST 2023","66816","Valid Login Scenario","Check login and logout successfully","pages.LoginPageTest","pages.LoginPageTest","signIn","signIn","Verify valid user are allowed to access"
"passed","Wed Aug 09 11:21:22 IST 2023","Wed Aug 09 11:24:01 IST 2023","159334","Valid Login Scenario","Test Consignment Inbound","pages.TestPageConsignmentInbound","pages.TestPageConsignmentInbound","consignmentInboundSave","consignmentInboundSave",""
"passed","Tue Aug 08 10:55:41 IST 2023","Tue Aug 08 10:57:36 IST 2023","114767","Valid Login Scenario (0)","Test Consignment ExternalUser assigned SingleBilledTos","pages.TestAutoGenConsignmentIDExtUser","pages.TestAutoGenConsignmentIDExtUser","externalUserAutoGenConsignmentIDOutbound","externalUserAutoGenConsignmentIDOutbound",""
"broken","Wed May 17 17:49:10 IST 2023","Wed May 17 17:49:10 IST 2023","0","Valid Login Scenario (2)","Test Consignment ExternalUser assigned MultipleBilledTos","pages.TestConsignmentExternalUser","pages.TestConsignmentExternalUser","setUp","setUp",""
"broken","Tue Aug 01 12:05:11 IST 2023","Tue Aug 01 12:06:48 IST 2023","97428","Valid Login Scenario","Test Consignment ExternalUser assigned MultipleBilledTos","pages.TestConsignmentExternalUser","pages.TestConsignmentExternalUser","externalUserConsignmentOutbound","externalUserConsignmentOutbound",""
"broken","Wed May 17 14:44:00 IST 2023","Wed May 17 14:47:16 IST 2023","195441","Valid Login Scenario","Test Consignment","pages.TestPageFirearmConsignment","pages.TestPageFirearmConsignment","firearmConsignment","firearmConsignment",""
"broken","Wed May 10 13:55:46 IST 2023","Wed May 10 13:57:18 IST 2023","91467","Valid Login Scenario","Test Consignment Inbound","pages.TestPageConsignmentInbound","pages.TestPageConsignmentInbound","consignmentInboundEmailAndSave","consignmentInboundEmailAndSave",""
"broken","Mon May 08 16:40:37 IST 2023","Mon May 08 16:42:33 IST 2023","115240","Valid Login Scenario","Test Consignment Inbound","pages.TestPageConsignmentInbound","pages.TestPageConsignmentInbound","consignmentInboundEmailAndSave","consignmentInboundEmailAndSave",""
"passed","Tue Aug 08 10:57:36 IST 2023","Tue Aug 08 10:58:54 IST 2023","77349","Valid Login Scenario (0)","Test Consignment ExternalUser assigned SingleBilledTos","pages.TestAutoGenConsignmentIDExtUser","pages.TestAutoGenConsignmentIDExtUser","externalUserAutoGenConsignmentInbound","externalUserAutoGenConsignmentInbound",""
"passed","Wed May 17 18:18:50 IST 2023","Wed May 17 18:19:01 IST 2023","10282","Valid Login Scenario (1)","Test Consignment","pages.TestPageFirearmConsignment","pages.TestPageFirearmConsignment","clickOnAccordian","clickOnAccordian",""
"broken","Fri May 12 16:23:42 IST 2023","Fri May 12 16:26:41 IST 2023","179163","Valid Login Scenario","Test Consignment","pages.TestPageFirearmConsignment","pages.TestPageFirearmConsignment","firearmConsignment","firearmConsignment",""
"broken","Fri May 12 12:14:26 IST 2023","Fri May 12 12:14:26 IST 2023","1","Valid Login Scenario","Test Consignment","pages.TestPageFirearmConsignment","pages.TestPageFirearmConsignment","firearmConsignment","firearmConsignment",""
"passed","Tue Aug 01 12:14:12 IST 2023","Tue Aug 01 12:16:27 IST 2023","135343","Valid Login Scenario","Test Consignment ExternalUser assigned MultipleBilledTos","pages.TestConsignmentExternalUser","pages.TestConsignmentExternalUser","externalUserConsignmentOutbound","externalUserConsignmentOutbound",""
"passed","Wed Aug 09 11:16:55 IST 2023","Wed Aug 09 11:21:21 IST 2023","266675","Valid Login Scenario","Test Consignment Inbound","pages.TestPageConsignmentInbound","pages.TestPageConsignmentInbound","consignmentInboundEmailAndSave","consignmentInboundEmailAndSave",""
"passed","Wed May 17 17:03:27 IST 2023","Wed May 17 17:07:07 IST 2023","219974","Valid Login Scenario","Test Consignment","pages.TestPageFirearmConsignment","pages.TestPageFirearmConsignment","firearmConsignment","firearmConsignment",""
"passed","Mon Aug 07 16:46:11 IST 2023","Mon Aug 07 16:47:54 IST 2023","103186","Valid Login Scenario","Test Consignment ExternalUser assigned MultipleBilledTos","pages.TestConsignmentExternalUser","pages.TestConsignmentExternalUser","externalUserConsignmentInbound","externalUserConsignmentInbound",""
"broken","Mon May 08 16:48:15 IST 2023","Mon May 08 16:50:10 IST 2023","115407","Valid Login Scenario","Test Consignment Inbound","pages.TestPageConsignmentInbound","pages.TestPageConsignmentInbound","consignmentInboundEmailAndSave","consignmentInboundEmailAndSave",""
"passed","Tue Aug 01 11:33:21 IST 2023","Tue Aug 01 11:34:03 IST 2023","41772","Valid Login Scenario","Check login and logout successfully","pages.LoginPageTest","pages.LoginPageTest","signIn","signIn","Verify valid user are allowed to access"
"passed","Tue Aug 08 10:52:03 IST 2023","Tue Aug 08 10:53:47 IST 2023","104426","Valid Login Scenario","Test Consignment ExternalUser assigned MultipleBilledTos","pages.TestConsignmentExternalUser","pages.TestConsignmentExternalUser","externalUserConsignmentInbound","externalUserConsignmentInbound",""
"passed","Mon Jul 17 16:30:50 IST 2023","Mon Jul 17 16:33:29 IST 2023","159253","Valid Login Scenario","Test Consignment Inbound","pages.TestPageConsignmentInbound","pages.TestPageConsignmentInbound","consignmentInboundSave","consignmentInboundSave",""
"broken","Mon May 08 13:35:34 IST 2023","Mon May 08 13:37:47 IST 2023","133019","Valid Login Scenario","Test Consignment ExternalUser assigned MultipleBilledTos","pages.TestConsignmentExternalUser","pages.TestConsignmentExternalUser","externalUserConsignmentOutbound","externalUserConsignmentOutbound",""
"passed","Mon May 08 13:04:59 IST 2023","Mon May 08 13:07:34 IST 2023","154692","Valid Login Scenario","Test Consignment","pages.TestPageConsinment","pages.TestPageConsinment","doStarted","doStarted",""
"broken","Tue Aug 01 12:37:38 IST 2023","Tue Aug 01 12:37:58 IST 2023","20144","Valid Login Scenario","Test Consignment ExternalUser assigned SingleBilledTos","pages.TestAutoGenConsignmentIDExtUser","pages.TestAutoGenConsignmentIDExtUser","externalUserAutoGenConsignmentInbound","externalUserAutoGenConsignmentInbound",""
"broken","Fri May 12 15:12:09 IST 2023","Fri May 12 15:13:41 IST 2023","91942","Valid Login Scenario","Test Consignment","pages.TestPageFirearmConsignment","pages.TestPageFirearmConsignment","firearmConsignment","firearmConsignment",""
"passed","Wed Aug 09 11:15:54 IST 2023","Wed Aug 09 11:16:24 IST 2023","30363","Valid Login Scenario","Test Consignment Inbound","pages.TestPageConsignmentInbound","pages.TestPageConsignmentInbound","clickOnConsignment","clickOnConsignment","Verify valid user are allowed to access"
"broken","Wed May 10 14:47:01 IST 2023","Wed May 10 14:48:26 IST 2023","84749","Valid Login Scenario","Test Consignment Inbound","pages.TestPageConsignmentInbound","pages.TestPageConsignmentInbound","consignmentInboundEmailAndSave","consignmentInboundEmailAndSave",""
"broken","Fri May 12 17:48:50 IST 2023","Fri May 12 17:51:49 IST 2023","178683","Valid Login Scenario","Test Consignment","pages.TestPageFirearmConsignment","pages.TestPageFirearmConsignment","firearmConsignment","firearmConsignment",""
"broken","Wed May 10 15:55:47 IST 2023","Wed May 10 15:57:09 IST 2023","82524","Valid Login Scenario","Test Consignment Inbound","pages.TestPageConsignmentInbound","pages.TestPageConsignmentInbound","consignmentInboundEmailAndSave","consignmentInboundEmailAndSave",""
